question_id,entropy,schema_correct,learning_correct,gated_correct,entropy_bin
Q7,1.585599142934453,1,1,1,low
Q8,1.6077487176247802,1,1,1,mid
Q10,1.6094379124341005,1,0,1,high
Q12,1.6094379124341005,1,1,1,high
Q13,1.6094379124341005,0,0,0,high
Q14,1.5986386603964156,1,1,1,low
Q15,1.6094379124341005,1,1,1,high
Q16,1.606891182529309,1,1,1,mid
Q17,1.6056531736626063,1,1,1,mid
Q18,1.5751319576133351,1,1,1,low
Q19,1.6094379124341005,0,0,0,high
Q20,1.6094379124341005,0,0,0,high
Q21,1.5915649017430318,1,1,1,low
Q22,1.5986386603964158,1,1,1,low
Q23,1.6047859994956553,0,0,0,mid
Q24,1.6047859994956553,1,1,1,mid
Q25,1.6087069431506784,0,1,1,mid
Q26,1.5994252052478144,1,1,1,low
Q27,1.5644749627104826,1,1,1,low
Q31,1.6094379124341005,1,1,1,high
