request_id,question,topic,expected_route,system_mode,route,selected_source,estimated_llm_calls,candidate_count,graph_row_count,graph_error,row_preview,answer_text,execution_selection_reason,selected_query,correctness,notes
FULLKGQA0001,"Among all vehicle types and SAE levels, which pairing leads in autonomous driving percentage?",autonomous_driving,,direct_graph_supported,auto_answer,capability_inventory,0,1,15,,"[{""avgPercentage"": ""42.0"", ""saeLevel"": ""SAE_Level_1"", ""vehicleType"": ""BEHV""}, {""avgPercentage"": ""52.0"", ""saeLevel"": ""SAE_Level_2"", ""vehicleType"": ""BEHV""}, {""avgPercentage"": ""62.0"", ""saeLevel"": ""SAE_Level_3"", ""vehicleType"": ""BEHV""}, {""avgPercentage"": ""72.0"", ""saeLevel"": ""SAE_Level_4"", ""vehicleType"": ""BEHV""}, {""avgPercentage"": ""82.0"", ""saeLevel"": ""SAE_Level_5"", ""vehicleType"": ""BEHV""}, {""avgPercentage"": ""42.0"", ""saeLevel"": ""SAE_Level_1"", ""vehicleType"": ""BEV""}, {""avgPercentage"": ""52.0"", ""saeLevel"": ""SAE_Level_2"", ""vehicleType"": ""BEV""}, {""avgPercentage"": ""62.0"", ""saeLevel"": ""SAE_Level_3"", ""vehicleType"": ""BEV""}, {""avgPercentage"": ""72.0"", ""saeLevel"": ""SAE_Level_4"", ""vehicleType"": ""BEV""}, {""avgPe...","Answer: Autonomous-driving development returned 15 grouped row(s). First groups: vehicle type: BEHV, sae level: SAE Level 1, avg percentage: 42.0; vehicle type: BEHV, sae level: SAE Level 2, avg percentage: 52.0; vehicle type: BEHV, sae level: SAE Level 3, avg percentage: 62.0; vehicle type: BEHV, sae level: SAE Level 4, avg percentage: 72.0; vehicle type: BEHV, sae level: SAE Level 5, avg percentage: 82.0; vehicle type: BEV, sae level: SAE Level 1, avg percentage: 42.0; vehicle type: BEV, sae level: SAE Level 2, avg percentage: 52.0; vehicle type: BEV, sae level: SAE Level 3, avg percentage: 62.0.",,"SELECT ?vehicleType ?saeLevel (AVG(?pct) AS ?avgPercentage) WHERE { ?entry a survey:AutonomousDrivingDevelopment ; survey:hasVehicleType ?vehicle ; survey:hasSAELevel ?sae ; survey:hasPercentage ?pct . BIND(REPLACE(STR(?vehicle), ""^.*/"", """") AS ?vehicleType) BIND(REPLACE(STR(?sae), ""^.*/"", """") AS ?saeLevel) } GROUP BY ?vehicleType ?saeLevel ORDER BY ?vehicleType ?saeLevel",incorrect,codex: top/highest request not answered as top result
FULLKGQA0002,Define CO2 Savings Of Ecars In Company Products.,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"The carbon dioxide (CO2) emissions saved by electric cars (ecars) in company products. In the Digital Reference ontology, it is a subclass of Application.",,,correct,codex: ontology definition returned
FULLKGQA0003,"Based on the current demand data, which region should be monitored more closely?",advisory_current_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""regionName"": ""Asia Pacific/China"", ""totalDemand"": ""77885333.0""}, {""regionName"": ""Americas"", ""totalDemand"": ""67744523.0""}, {""regionName"": ""Europe"", ""totalDemand"": ""51729058.0""}, {""regionName"": ""Asia Pacific/All Other"", ""totalDemand"": ""37293323.0""}, {""regionName"": ""Japan"", ""totalDemand"": ""14117173.0""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (total current demand: 77885333.0). This is a data-grounded analytical signal, not an autonomous business decision. Top returned signals: Asia Pacific/China: 77885333.0; Americas: 67744523.0; Europe: 51729058.0. The deterministic advisory template used here was: identify the region with the highest current-demand signal.",,SELECT ?regionName (SUM(?demand) AS ?totalDemand) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemand ?demand . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?totalDemand),correct,codex: deterministic advisory with graph evidence
FULLKGQA0004,Which technology category currently leads in demand?,catalog_lookup,,direct_graph_supported,auto_answer,capability_inventory,0,1,5,,"[{""technologyCategory"": ""10-16 nm""}, {""technologyCategory"": ""180-500 nm""}, {""technologyCategory"": ""2-7 nm""}, {""technologyCategory"": ""28-45 nm""}, {""technologyCategory"": ""55-150 nm""}]",Answer: The query returned 5 row(s). Results: technology category: 10-16 nm; technology category: 180-500 nm; technology category: 2-7 nm; technology category: 28-45 nm; technology category: 55-150 nm.,,"SELECT DISTINCT ?technologyCategory WHERE { ?technology a survey:TechnologyCategory . OPTIONAL { ?technology survey:technologyCategoryName ?technologyName . } BIND(COALESCE(?technologyName, REPLACE(STR(?technology), ""^.*/"", """")) AS ?technologyCategory) } ORDER BY ?technologyCategory",incorrect,codex: top/highest request not answered as top result
FULLKGQA0005,What does product level 2 ID mean?,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"Product Level 2: PK; Name of the product in level 2 Its declared domain is Product Level 2, Product Level 3 and its declared range is string.",,,correct,codex: ontology definition returned
FULLKGQA0006,Where should planning attention focus based on current demand by region?,advisory_current_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""regionName"": ""Asia Pacific/China"", ""totalDemand"": ""77885333.0""}, {""regionName"": ""Americas"", ""totalDemand"": ""67744523.0""}, {""regionName"": ""Europe"", ""totalDemand"": ""51729058.0""}, {""regionName"": ""Asia Pacific/All Other"", ""totalDemand"": ""37293323.0""}, {""regionName"": ""Japan"", ""totalDemand"": ""14117173.0""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (total current demand: 77885333.0). This is a data-grounded analytical signal, not an autonomous business decision. Top returned signals: Asia Pacific/China: 77885333.0; Americas: 67744523.0; Europe: 51729058.0. The deterministic advisory template used here was: identify the region with the highest current-demand signal.",,SELECT ?regionName (SUM(?demand) AS ?totalDemand) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemand ?demand . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?totalDemand),correct,codex: deterministic advisory with graph evidence
FULLKGQA0007,"For each of the baselines BL1 and BL2, how many Tier1 Automotive current-demand entries have been captured?",current_demand_baselines,,llm_ranking,llm_ranking,validated_retrieval,1,8,2,,"[{""baseline"": ""BL1"", ""entryCount"": ""1""}, {""baseline"": ""BL2"", ""entryCount"": ""1""}]","Answer: The query returned 2 row(s). Results: baseline: BL1, entry count: 1; baseline: BL2, entry count: 1.",kept_selected_nonempty,"SELECT ?baseline (COUNT(?entry) AS ?entryCount) WHERE { survey:Tier1CurrentDemand a survey:CurrentDemandAnalysis ; survey:hasSurveyOrigin survey:Tier1_Survey ; survey:hasMarketSegment survey:Automotive ; survey:hasAggregatedResult ?entry . ?entry a survey:CurrentDemandAnalysis ; survey:hasMarketSegment survey:Automotive ; survey:baselineType ?baseline . FILTER(?baseline IN ('BL1', 'BL2')) } GROUP BY ?baseline ORDER BY ?baseline",incorrect,codex: baseline percentage-change path missing
FULLKGQA0008,Define Inventory Policy.,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"INVENTORY POLICY is a set of rules that guide how much stock is needed to balance supply with demand. It helps prevent shortages or excess inventory while controlling costs. In the Digital Reference ontology, it is a subclass of Supply Chain Lobe.",,,correct,codex: ontology definition returned
FULLKGQA0009,Which region has the strongest current demand signal?,advisory_current_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""regionName"": ""Asia Pacific/China"", ""totalDemand"": ""77885333.0""}, {""regionName"": ""Americas"", ""totalDemand"": ""67744523.0""}, {""regionName"": ""Europe"", ""totalDemand"": ""51729058.0""}, {""regionName"": ""Asia Pacific/All Other"", ""totalDemand"": ""37293323.0""}, {""regionName"": ""Japan"", ""totalDemand"": ""14117173.0""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (total current demand: 77885333.0). This is a data-grounded analytical signal, not an autonomous business decision. Top returned signals: Asia Pacific/China: 77885333.0; Americas: 67744523.0; Europe: 51729058.0. The deterministic advisory template used here was: identify the region with the highest current-demand signal.",,SELECT ?regionName (SUM(?demand) AS ?totalDemand) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemand ?demand . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?totalDemand),correct,codex: deterministic advisory with graph evidence
FULLKGQA0010,Show the aggregate future semiconductor demand broken down by technology category and quarter?,future_demand,,llm_ranking,llm_ranking,validated_retrieval,1,7,40,,"[{""quarterLabel"": ""Quarter_Current_Quarter"", ""techLabel"": ""TechCategory_%3C%3D_7nm"", ""totalFutureChange"": ""27.09""}, {""quarterLabel"": ""Quarter_Q1_2026"", ""techLabel"": ""TechCategory_%3C%3D_7nm"", ""totalFutureChange"": ""3.99""}, {""quarterLabel"": ""Quarter_Q2_2025"", ""techLabel"": ""TechCategory_%3C%3D_7nm"", ""totalFutureChange"": ""165.57""}, {""quarterLabel"": ""Quarter_Q2_2026"", ""techLabel"": ""TechCategory_%3C%3D_7nm"", ""totalFutureChange"": ""3.0""}, {""quarterLabel"": ""Quarter_Q3_2025"", ""techLabel"": ""TechCategory_%3C%3D_7nm"", ""totalFutureChange"": ""-63.42""}, {""quarterLabel"": ""Quarter_Q3_2026"", ""techLabel"": ""TechCategory_%3C%3D_7nm"", ""totalFutureChange"": ""52.17""}, {""quarterLabel"": ""Quarter_Q4_2025"", ""techLabel""...",Answer: Future-demand results returned 40 grouped row(s). The highest total future-demand change is TechCategory <= 7nm in Quarter Q2 2025 with 165.57. The lowest is TechCategory <= 7nm in Quarter Q3 2025 with -63.42.,switched_to_nonempty_candidate,"SELECT ?techLabel ?quarterLabel (SUM(?pct) AS ?totalFutureChange) WHERE { ?entry a survey:FutureDemandAnalysis ; survey:analyzesTechnologyCategory ?tech ; survey:forTimePeriod ?quarter ; survey:percentageChange ?pct . BIND(REPLACE(STR(?tech), '^.*/', '') AS ?techLabel) BIND(REPLACE(STR(?quarter), '^.*/', '') AS ?quarterLabel) } GROUP BY ?techLabel ?quarterLabel ORDER BY ?techLabel ?quarterLabel",correct,codex: semantic/domain checks passed
