request_id,question,topic,expected_route,system_mode,route,selected_source,estimated_llm_calls,candidate_count,graph_row_count,graph_error,row_preview,answer_text,execution_selection_reason,selected_query,correctness,notes,strict_result_match,source_gold_id,audit_method,human_sparql_difficulty,failure_type,failure_family
FULLKGQA0001,"Among all vehicle types and SAE levels, which pairing leads in autonomous driving percentage?",autonomous_driving,,direct_graph_supported,auto_answer,capability_inventory,0,1,1,,"[{""avgPercentage"": ""82.0"", ""saeLevel"": ""SAE_Level_5"", ""vehicleType"": ""BEHV""}]","Answer: Autonomous-driving development returned 1 grouped row(s). Groups: vehicle type: BEHV, sae level: SAE Level 5, avg percentage: 82.0.",,"SELECT ?vehicleType ?saeLevel (AVG(?pct) AS ?avgPercentage) WHERE { ?entry a survey:AutonomousDrivingDevelopment ; survey:hasVehicleType ?vehicle ; survey:hasSAELevel ?sae ; survey:hasPercentage ?pct . BIND(REPLACE(STR(?vehicle), ""^.*/"", """") AS ?vehicleType) BIND(REPLACE(STR(?sae), ""^.*/"", """") AS ?saeLevel) } GROUP BY ?vehicleType ?saeLevel ORDER BY DESC(?avgPercentage) LIMIT 1",correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,,,
FULLKGQA0002,Define CO2 Savings Of Ecars In Company Products.,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"The carbon dioxide (CO2) emissions saved by electric cars (ecars) in company products. In the Digital Reference ontology, it is a subclass of Application.",,,correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,easy_non_sparql_definition,none,
FULLKGQA0003,"Based on the current demand data, which region should be monitored more closely?",advisory_current_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""regionName"": ""Asia Pacific/China"", ""totalDemand"": ""77885333.0""}, {""regionName"": ""Americas"", ""totalDemand"": ""67744523.0""}, {""regionName"": ""Europe"", ""totalDemand"": ""51729058.0""}, {""regionName"": ""Asia Pacific/All Other"", ""totalDemand"": ""37293323.0""}, {""regionName"": ""Japan"", ""totalDemand"": ""14117173.0""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (total current demand: 77885333.0). I selected this advice because the deterministic advisory route computed total current demand for each returned group, sorted the graph-backed results in descending order, and used the strongest returned signal as the priority for review. This is a data-grounded analytical signal, not an autonomous business decision. The top returned evidence rows were: Asia Pacific/China: 77885333.0; Americas: 67744523.0; Europe: 51729058.0. The deterministic advisory template used here was designed to identify the region with the highest current-demand signal; therefore the recommendation should be read as a prioritization cue for human review, not as a final operational decision.",,SELECT ?regionName (SUM(?demand) AS ?totalDemand) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemand ?demand . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?totalDemand),correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium_advisory_interpretation,none,
FULLKGQA0004,Which technology category currently leads in demand?,catalog_lookup,,llm_ranking,llm_ranking,validated_retrieval,0,6,1,,"[{""currentDemand"": ""3251636"", ""technologyCategory"": ""55-150 nm""}]","Answer: The query returned 1 row(s). Results: technology category: 55-150 nm, current demand: 3251636.",selected_best_executable_candidate,SELECT ?technologyCategory ?currentDemand WHERE { ?tech a survey:TechnologyCategory ; survey:technologyCategoryName ?technologyCategory ; survey:currentDemand ?currentDemand . } ORDER BY DESC(?currentDemand) LIMIT 1,correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,easy,none,
FULLKGQA0005,What does product level 3 mean?,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"Lot Event: FK; Name of product level 3 lot belongs to Its declared domain is Lot, Lot Event and its declared range is string.",,,correct,Deterministic DR ontology lookup returned a definition-style answer.,,,deterministic_definition_rule,,none,none
FULLKGQA0006,Where should planning attention focus based on current demand by region?,advisory_current_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""regionName"": ""Asia Pacific/China"", ""totalDemand"": ""77885333.0""}, {""regionName"": ""Americas"", ""totalDemand"": ""67744523.0""}, {""regionName"": ""Europe"", ""totalDemand"": ""51729058.0""}, {""regionName"": ""Asia Pacific/All Other"", ""totalDemand"": ""37293323.0""}, {""regionName"": ""Japan"", ""totalDemand"": ""14117173.0""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (total current demand: 77885333.0). I selected this advice because the deterministic advisory route computed total current demand for each returned group, sorted the graph-backed results in descending order, and used the strongest returned signal as the priority for review. This is a data-grounded analytical signal, not an autonomous business decision. The top returned evidence rows were: Asia Pacific/China: 77885333.0; Americas: 67744523.0; Europe: 51729058.0. The deterministic advisory template used here was designed to identify the region with the highest current-demand signal; therefore the recommendation should be read as a prioritization cue for human review, not as a final operational decision.",,SELECT ?regionName (SUM(?demand) AS ?totalDemand) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemand ?demand . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?totalDemand),correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium_advisory_interpretation,none,
FULLKGQA0007,Calculate the sum of the current demand difference between BL1 and BL2 for Tier1?,current_demand_baselines,,llm_ranking,llm_ranking,validated_retrieval,0,9,1,,"[{""changeBL1"": ""11.04"", ""changeBL2"": ""-9.03"", ""marketSegment"": ""Automotive""}]",Answer: Current-demand BL comparison returned 1 row(s). BL1 for Automotive is 11.04 and BL2 is -9.03; BL1 is higher than BL2 by 20.07.,selected_best_executable_candidate,"SELECT ?marketSegment (SUM(IF(?baseline = ""BL1"", ?pct, 0)) AS ?changeBL1) (SUM(IF(?baseline = ""BL2"", ?pct, 0)) AS ?changeBL2) WHERE { survey:Tier1CurrentDemand a survey:CurrentDemandAnalysis ; survey:hasSurveyOrigin survey:Tier1_Survey ; survey:hasMarketSegment survey:Automotive ; survey:hasAggregatedResult ?entry . ?entry a survey:CurrentDemandAnalysis ; survey:hasMarketSegment survey:Automotive ; survey:baselineType ?baseline ; survey:percentageChange ?pct . FILTER(?baseline IN (""BL1"", ""BL2"")) BIND(""Automotive"" AS ?marketSegment) } GROUP BY ?marketSegment",correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,hard,none,
FULLKGQA0008,Define Inventory Policy.,,definition,direct_graph_supported,auto_answer,digital_reference_ontology,0,0,0,,,"INVENTORY POLICY is a set of rules that guide how much stock is needed to balance supply with demand. It helps prevent shortages or excess inventory while controlling costs. In the Digital Reference ontology, it is a subclass of Supply Chain Lobe.",,,correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,easy_non_sparql_definition,none,
FULLKGQA0009,Which region has the strongest current demand signal?,advisory_current_demand,advisory,direct_graph_supported,auto_answer,advisory,0,1,5,,"[{""regionName"": ""Asia Pacific/China"", ""totalDemand"": ""77885333.0""}, {""regionName"": ""Americas"", ""totalDemand"": ""67744523.0""}, {""regionName"": ""Europe"", ""totalDemand"": ""51729058.0""}, {""regionName"": ""Asia Pacific/All Other"", ""totalDemand"": ""37293323.0""}, {""regionName"": ""Japan"", ""totalDemand"": ""14117173.0""}]","Based on the graph results, Asia Pacific/China is the first area to inspect for this request (total current demand: 77885333.0). I selected this advice because the deterministic advisory route computed total current demand for each returned group, sorted the graph-backed results in descending order, and used the strongest returned signal as the priority for review. This is a data-grounded analytical signal, not an autonomous business decision. The top returned evidence rows were: Asia Pacific/China: 77885333.0; Americas: 67744523.0; Europe: 51729058.0. The deterministic advisory template used here was designed to identify the region with the highest current-demand signal; therefore the recommendation should be read as a prioritization cue for human review, not as a final operational decision.",,SELECT ?regionName (SUM(?demand) AS ?totalDemand) WHERE { ?entry a survey:DemandForRegion ; survey:inRegion ?region ; survey:totalDemand ?demand . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY DESC(?totalDemand),correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium_advisory_interpretation,none,
FULLKGQA0010,Count the FutureDemandAnalysis entries that are related to Semiconductor surveys?,future_demand,,llm_ranking,llm_ranking,infineon,0,5,1,,"[{""count"": ""3""}]",Answer: The result is 3.,kept_selected_nonempty,SELECT (COUNT(?entry) AS ?count) WHERE { ?entry a survey:FutureDemandAnalysis ; survey:hasSurveyOrigin survey:Semiconductor_Survey . },correct,"Transferred from previous labeled audit because question, selected source, and selected query are unchanged.",,,transferred_from_previous_labeled_audit,medium,none,
