Source,Target,Type
All_Other,AllOther,inRegion
All_Other_Q1_2026_Entry,AllOther,inRegion
All_Other_Q1_2026_Entry,Quarter_Q1_2026,quarter
All_Other_Q2_2025_Entry,AllOther,inRegion
All_Other_Q2_2025_Entry,Quarter_Q2_2025,quarter
All_Other_Q2_2026_Entry,AllOther,inRegion
All_Other_Q2_2026_Entry,Quarter_Q2_2026,quarter
All_Other_Q3_2025_Entry,AllOther,inRegion
All_Other_Q3_2025_Entry,Quarter_Q3_2025,quarter
All_Other_Q3_2026_Entry,AllOther,inRegion
All_Other_Q3_2026_Entry,Quarter_Q3_2026,quarter
All_Other_Q4_2025_Entry,AllOther,inRegion
All_Other_Q4_2025_Entry,Quarter_Q4_2025,quarter
All_Other_Q4_2026_Entry,AllOther,inRegion
All_Other_Q4_2026_Entry,Quarter_Q4_2026,quarter
AutonomousDrivingDevelopment_OEM,BEHV,hasVehicleType
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_1_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_1_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_1_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_2_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_2_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_2_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_3_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_3_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_3_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_4_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_4_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_4_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_5_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_5_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,BEHV_SAE_Level_5_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,BEV,hasVehicleType
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_1_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_1_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_1_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_2_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_2_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_2_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_3_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_3_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_3_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_4_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_4_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_4_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_5_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_5_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,BEV_SAE_Level_5_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,ICE,hasVehicleType
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_1_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_1_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_1_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_2_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_2_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_2_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_3_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_3_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_3_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_4_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_4_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_4_Year_2027,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_5_Year_2025,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_5_Year_2026,hasDetail
AutonomousDrivingDevelopment_OEM,ICE_SAE_Level_5_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV,hasVehicleType
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_1_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_1_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_1_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_2_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_2_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_2_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_3_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_3_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_3_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_4_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_4_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_4_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_5_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_5_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,BEHV_SAE_Level_5_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV,hasVehicleType
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_1_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_1_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_1_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_2_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_2_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_2_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_3_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_3_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_3_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_4_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_4_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_4_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_5_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_5_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,BEV_SAE_Level_5_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE,hasVehicleType
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_1_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_1_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_1_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_2_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_2_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_2_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_3_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_3_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_3_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_4_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_4_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_4_Year_2027,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_5_Year_2025,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_5_Year_2026,hasDetail
AutonomousDrivingDevelopment_Tier1,ICE_SAE_Level_5_Year_2027,hasDetail
China,China,inRegion
China_Q1_2026_Entry,China,inRegion
China_Q1_2026_Entry,Quarter_Q1_2026,quarter
China_Q2_2025_Entry,China,inRegion
China_Q2_2025_Entry,Quarter_Q2_2025,quarter
China_Q2_2026_Entry,China,inRegion
China_Q2_2026_Entry,Quarter_Q2_2026,quarter
China_Q3_2025_Entry,China,inRegion
China_Q3_2025_Entry,Quarter_Q3_2025,quarter
China_Q3_2026_Entry,China,inRegion
China_Q3_2026_Entry,Quarter_Q3_2026,quarter
China_Q4_2025_Entry,China,inRegion
China_Q4_2025_Entry,Quarter_Q4_2025,quarter
China_Q4_2026_Entry,China,inRegion
China_Q4_2026_Entry,Quarter_Q4_2026,quarter
Company1_OEM_BEHV_Response,Company1_OEM,fromCompany
Company1_OEM_BEV_Response,Company1_OEM,fromCompany
Company1_OEM_ICE_Response,Company1_OEM,fromCompany
Company1_tier1,EV,hasComponentTypeSplit
Company1_tier1,non_EV,hasComponentTypeSplit
Company1_tier1_Advanced_driver-assistance_systems_(ADAS),Company1_tier1,forCompany
Company1_tier1_Body_and_convenience,Company1_tier1,forCompany
