request_id,question,topic,expected_route,system_mode,route,selected_source,estimated_llm_calls,candidate_count,graph_row_count,graph_error,row_preview,answer_text,execution_selection_reason,selected_query,correctness,notes
EFFKGQA0001,Show sales volume by month.,vehicle_sales,llm_or_ranking,direct_graph_supported,auto_answer,capability_inventory,0,1,48,,"[{""monthLabel"": ""Apr 2023"", ""unitsSold"": ""6425650""}, {""monthLabel"": ""Apr 2024"", ""unitsSold"": ""6818720""}, {""monthLabel"": ""Apr 2025"", ""unitsSold"": ""7260983""}, {""monthLabel"": ""Apr 2026"", ""unitsSold"": ""7009380""}, {""monthLabel"": ""Aug 2023"", ""unitsSold"": ""7057393""}, {""monthLabel"": ""Aug 2024"", ""unitsSold"": ""6837967""}, {""monthLabel"": ""Aug 2025"", ""unitsSold"": ""6966169""}, {""monthLabel"": ""Aug 2026"", ""unitsSold"": ""6967132""}, {""monthLabel"": ""Dec 2023"", ""unitsSold"": ""8093262""}, {""monthLabel"": ""Dec 2024"", ""unitsSold"": ""8544327""}, {""monthLabel"": ""Dec 2025"", ""unitsSold"": ""8455087""}, {""monthLabel"": ""Dec 2026"", ""unitsSold"": ""8482982""}, {""monthLabel"": ""Feb 2023"", ""unitsSold"": ""6176907""}, {""monthLabel"": ""Feb ...","Answer: Vehicle-sales results returned 48 grouped row(s). First groups: month label: Apr 2023, units sold: 6425650; month label: Apr 2024, units sold: 6818720; month label: Apr 2025, units sold: 7260983; month label: Apr 2026, units sold: 7009380; month label: Aug 2023, units sold: 7057393; month label: Aug 2024, units sold: 6837967; month label: Aug 2025, units sold: 6966169; month label: Aug 2026, units sold: 6967132; month label: Dec 2023, units sold: 8093262; month label: Dec 2024, units sold: 8544327; month label: Dec 2025, units sold: 8455087; month label: Dec 2026, units sold: 8482982.",,"SELECT ?monthLabel (SUM(?units) AS ?unitsSold) WHERE { ?obs a survey:VehicleSalesObservation ; survey:forTimePeriod ?month ; survey:unitsSold ?units . OPTIONAL { ?month survey:periodLabel ?periodLabel . } BIND(COALESCE(?periodLabel, REPLACE(STR(?month), ""^.*/"", """")) AS ?monthLabel) } GROUP BY ?monthLabel ORDER BY ?monthLabel",,
EFFKGQA0002,"For the survey data, show regional demand by vehicle type?",regional_demand,llm_or_ranking,llm_ranking,llm_ranking,validated_retrieval,1,11,24,,"[{""avgChange"": ""-0.83"", ""quarterLabel"": ""time_Current_Quarter"", ""vehicleType"": ""BEHV""}, {""avgChange"": ""-1.66"", ""quarterLabel"": ""time_Q1_2026"", ""vehicleType"": ""BEHV""}, {""avgChange"": ""1.68"", ""quarterLabel"": ""time_Q2_2025"", ""vehicleType"": ""BEHV""}, {""avgChange"": ""4.24"", ""quarterLabel"": ""time_Q2_2026"", ""vehicleType"": ""BEHV""}, {""avgChange"": ""-8.17"", ""quarterLabel"": ""time_Q3_2025"", ""vehicleType"": ""BEHV""}, {""avgChange"": ""4.07"", ""quarterLabel"": ""time_Q3_2026"", ""vehicleType"": ""BEHV""}, {""avgChange"": ""8.02"", ""quarterLabel"": ""time_Q4_2025"", ""vehicleType"": ""BEHV""}, {""avgChange"": ""4.69"", ""quarterLabel"": ""time_Q4_2026"", ""vehicleType"": ""BEHV""}, {""avgChange"": ""6.67"", ""quarterLabel"": ""time_Current_Quarter"",...",Answer: Future-demand results returned 24 grouped row(s). The highest average future-demand percentage change is BEV in time Q2 2025 with 15.63. The lowest is BEV in time Q3 2025 with -17.84.,selected_best_executable_candidate,"SELECT ?vehicleType ?quarterLabel (AVG(?pct) AS ?avgChange) WHERE { ?entry a survey:FutureDemandAnalysis ; survey:analyzesVehicleType ?vehicle ; survey:forTimePeriod ?quarter ; survey:percentageChange ?pct . BIND(REPLACE(STR(?vehicle), '^.*/', '') AS ?vehicleType) BIND(REPLACE(STR(?quarter), '^.*/', '') AS ?quarterLabel) } GROUP BY ?vehicleType ?quarterLabel ORDER BY ?vehicleType ?quarterLabel",,
EFFKGQA0003,"For the survey data, compare total demand across region?",regional_demand,llm_or_ranking,llm_ranking,llm_ranking,validated_retrieval,1,13,15,,"[{""regionName"": ""Americas"", ""surveyType"": ""OEM_Survey"", ""totalDemand"": ""67744458.0""}, {""regionName"": ""Asia Pacific/All Other"", ""surveyType"": ""OEM_Survey"", ""totalDemand"": ""37293303.0""}, {""regionName"": ""Asia Pacific/China"", ""surveyType"": ""OEM_Survey"", ""totalDemand"": ""77885298.0""}, {""regionName"": ""Europe"", ""surveyType"": ""OEM_Survey"", ""totalDemand"": ""51729003.0""}, {""regionName"": ""Japan"", ""surveyType"": ""OEM_Survey"", ""totalDemand"": ""14117148.0""}, {""regionName"": ""Americas"", ""surveyType"": ""Semiconductor_Survey"", ""totalDemand"": ""35.0""}, {""regionName"": ""Asia Pacific/All Other"", ""surveyType"": ""Semiconductor_Survey"", ""totalDemand"": ""10.0""}, {""regionName"": ""Asia Pacific/China"", ""surveyType"": ""Semicond...","Answer: Regional demand returned 15 grouped row(s). First groups: survey type: OEM Survey, region name: Americas, total demand: 67744458.0; survey type: OEM Survey, region name: All Other, total demand: 37293303.0; survey type: OEM Survey, region name: China, total demand: 77885298.0; survey type: OEM Survey, region name: Europe, total demand: 51729003.0; survey type: OEM Survey, region name: Japan, total demand: 14117148.0; survey type: Semiconductor Survey, region name: Americas, total demand: 35.0; survey type: Semiconductor Survey, region name: All Other, total demand: 10.0; survey type: Semiconductor Survey, region name: China, total demand: 20.0.",selected_best_executable_candidate,"SELECT ?surveyType ?regionName (SUM(?units) AS ?totalDemand) WHERE { ?d a survey:DemandForRegion ; survey:hasSurveyOrigin ?o ; survey:inRegion ?r ; survey:totalDemand ?units . ?o a ?surveyType . ?r survey:regionName ?regionName . FILTER(?surveyType IN (survey:Tier1_Survey, survey:OEM_Survey, survey:Semiconductor_Survey)) } GROUP BY ?surveyType ?regionName ORDER BY ?surveyType ?regionName",,
EFFKGQA0004,Use the graph to show current demand by region.,regional_demand,llm_or_ranking,direct_graph_supported,auto_answer,capability_inventory,0,1,15,,"[{""regionName"": ""Americas"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""67744458.0""}, {""regionName"": ""Asia Pacific/All Other"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""37293303.0""}, {""regionName"": ""Asia Pacific/China"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""77885298.0""}, {""regionName"": ""Europe"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""51729003.0""}, {""regionName"": ""Japan"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""14117148.0""}, {""regionName"": ""Americas"", ""surveyGroup"": ""Semiconductor"", ""totalDemand"": ""35.0""}, {""regionName"": ""Asia Pacific/All Other"", ""surveyGroup"": ""Semiconductor"", ""totalDemand"": ""10.0""}, {""regionName"": ""Asia Pacific/China"", ""surveyGroup"": ""Semiconductor"", ""totalDemand"": ""20.0""}, {""regionN...","Answer: Regional demand returned 15 grouped row(s). First groups: survey group: OEM, region name: Americas, total demand: 67744458.0; survey group: OEM, region name: All Other, total demand: 37293303.0; survey group: OEM, region name: China, total demand: 77885298.0; survey group: OEM, region name: Europe, total demand: 51729003.0; survey group: OEM, region name: Japan, total demand: 14117148.0; survey group: Semiconductor, region name: Americas, total demand: 35.0; survey group: Semiconductor, region name: All Other, total demand: 10.0; survey group: Semiconductor, region name: China, total demand: 20.0.",,"SELECT ?surveyGroup ?regionName (SUM(?demand) AS ?totalDemand) WHERE { VALUES (?surveyClass ?surveyGroup) { (survey:OEM_Survey ""OEM"") (survey:Tier1_Survey ""Tier1"") (survey:Semiconductor_Survey ""Semiconductor"") } ?entry a survey:DemandForRegion ; survey:hasSurveyOrigin ?origin ; survey:inRegion ?region ; survey:totalDemand ?demand . ?origin a ?surveyClass . ?region survey:regionName ?regionName . } GROUP BY ?surveyGroup ?regionName ORDER BY ?surveyGroup ?regionName",,
EFFKGQA0005,"For future demand, show the result by vehicle type.",future_demand,direct_capability,direct_graph_supported,auto_answer,capability_inventory,0,1,3,,"[{""avgPercentageChange"": ""1.505"", ""vehicleType"": ""BEHV""}, {""avgPercentageChange"": ""4.74375"", ""vehicleType"": ""BEV""}, {""avgPercentageChange"": ""0.845"", ""vehicleType"": ""ICE""}]","Answer: The query returned 3 row(s). Results: vehicle type: BEHV, avg percentage change: 1.505; vehicle type: BEV, avg percentage change: 4.74375; vehicle type: ICE, avg percentage change: 0.845.",,"SELECT ?vehicleType (AVG(?pct) AS ?avgPercentageChange) WHERE { ?entry a survey:FutureDemandAnalysis ; survey:analyzesVehicleType ?vehicle ; survey:percentageChange ?pct . BIND(REPLACE(STR(?vehicle), ""^.*/"", """") AS ?vehicleType) } GROUP BY ?vehicleType ORDER BY ?vehicleType",,
EFFKGQA0006,Summarize Tier1 current demand per region.,regional_demand,llm_or_ranking,direct_graph_supported,auto_answer,capability_inventory,0,1,5,,"[{""regionName"": ""Americas"", ""totalDemand"": ""30.0""}, {""regionName"": ""Asia Pacific/All Other"", ""totalDemand"": ""10.0""}, {""regionName"": ""Asia Pacific/China"", ""totalDemand"": ""15.0""}, {""regionName"": ""Europe"", ""totalDemand"": ""30.0""}, {""regionName"": ""Japan"", ""totalDemand"": ""15.0""}]","Answer: Regional demand returned 5 grouped row(s). Groups: region name: Americas, total demand: 30.0; region name: All Other, total demand: 10.0; region name: China, total demand: 15.0; region name: Europe, total demand: 30.0; region name: Japan, total demand: 15.0.",,"SELECT ?regionName (SUM(?demand) AS ?totalDemand) WHERE { BIND(""Tier1"" AS ?surveyGroup) ?entry a survey:DemandForRegion ; survey:hasSurveyOrigin ?origin ; survey:inRegion ?region ; survey:totalDemand ?demand . ?origin a survey:Tier1_Survey . ?region survey:regionName ?regionName . } GROUP BY ?regionName ORDER BY ?regionName",,
EFFKGQA0007,"From the graph, show future demand percentage changes by vehicle type?",future_demand,direct_capability,direct_graph_supported,auto_answer,capability_inventory,0,1,3,,"[{""avgPercentageChange"": ""1.505"", ""vehicleType"": ""BEHV""}, {""avgPercentageChange"": ""4.74375"", ""vehicleType"": ""BEV""}, {""avgPercentageChange"": ""0.845"", ""vehicleType"": ""ICE""}]","Answer: The query returned 3 row(s). Results: vehicle type: BEHV, avg percentage change: 1.505; vehicle type: BEV, avg percentage change: 4.74375; vehicle type: ICE, avg percentage change: 0.845.",,"SELECT ?vehicleType (AVG(?pct) AS ?avgPercentageChange) WHERE { ?entry a survey:FutureDemandAnalysis ; survey:analyzesVehicleType ?vehicle ; survey:percentageChange ?pct . BIND(REPLACE(STR(?vehicle), ""^.*/"", """") AS ?vehicleType) } GROUP BY ?vehicleType ORDER BY ?vehicleType",,
EFFKGQA0008,Compare current demand across region.,regional_demand,llm_or_ranking,direct_graph_supported,auto_answer,capability_inventory,0,1,15,,"[{""regionName"": ""Americas"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""67744458.0""}, {""regionName"": ""Asia Pacific/All Other"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""37293303.0""}, {""regionName"": ""Asia Pacific/China"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""77885298.0""}, {""regionName"": ""Europe"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""51729003.0""}, {""regionName"": ""Japan"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""14117148.0""}, {""regionName"": ""Americas"", ""surveyGroup"": ""Semiconductor"", ""totalDemand"": ""35.0""}, {""regionName"": ""Asia Pacific/All Other"", ""surveyGroup"": ""Semiconductor"", ""totalDemand"": ""10.0""}, {""regionName"": ""Asia Pacific/China"", ""surveyGroup"": ""Semiconductor"", ""totalDemand"": ""20.0""}, {""regionN...","Answer: Regional demand returned 15 grouped row(s). First groups: survey group: OEM, region name: Americas, total demand: 67744458.0; survey group: OEM, region name: All Other, total demand: 37293303.0; survey group: OEM, region name: China, total demand: 77885298.0; survey group: OEM, region name: Europe, total demand: 51729003.0; survey group: OEM, region name: Japan, total demand: 14117148.0; survey group: Semiconductor, region name: Americas, total demand: 35.0; survey group: Semiconductor, region name: All Other, total demand: 10.0; survey group: Semiconductor, region name: China, total demand: 20.0.",,"SELECT ?surveyGroup ?regionName (SUM(?demand) AS ?totalDemand) WHERE { VALUES (?surveyClass ?surveyGroup) { (survey:OEM_Survey ""OEM"") (survey:Tier1_Survey ""Tier1"") (survey:Semiconductor_Survey ""Semiconductor"") } ?entry a survey:DemandForRegion ; survey:hasSurveyOrigin ?origin ; survey:inRegion ?region ; survey:totalDemand ?demand . ?origin a ?surveyClass . ?region survey:regionName ?regionName . } GROUP BY ?surveyGroup ?regionName ORDER BY ?surveyGroup ?regionName",,
EFFKGQA0009,"From the graph, show current demand by region?",regional_demand,llm_or_ranking,direct_graph_supported,auto_answer,capability_inventory,0,1,15,,"[{""regionName"": ""Americas"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""67744458.0""}, {""regionName"": ""Asia Pacific/All Other"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""37293303.0""}, {""regionName"": ""Asia Pacific/China"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""77885298.0""}, {""regionName"": ""Europe"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""51729003.0""}, {""regionName"": ""Japan"", ""surveyGroup"": ""OEM"", ""totalDemand"": ""14117148.0""}, {""regionName"": ""Americas"", ""surveyGroup"": ""Semiconductor"", ""totalDemand"": ""35.0""}, {""regionName"": ""Asia Pacific/All Other"", ""surveyGroup"": ""Semiconductor"", ""totalDemand"": ""10.0""}, {""regionName"": ""Asia Pacific/China"", ""surveyGroup"": ""Semiconductor"", ""totalDemand"": ""20.0""}, {""regionN...","Answer: Regional demand returned 15 grouped row(s). First groups: survey group: OEM, region name: Americas, total demand: 67744458.0; survey group: OEM, region name: All Other, total demand: 37293303.0; survey group: OEM, region name: China, total demand: 77885298.0; survey group: OEM, region name: Europe, total demand: 51729003.0; survey group: OEM, region name: Japan, total demand: 14117148.0; survey group: Semiconductor, region name: Americas, total demand: 35.0; survey group: Semiconductor, region name: All Other, total demand: 10.0; survey group: Semiconductor, region name: China, total demand: 20.0.",,"SELECT ?surveyGroup ?regionName (SUM(?demand) AS ?totalDemand) WHERE { VALUES (?surveyClass ?surveyGroup) { (survey:OEM_Survey ""OEM"") (survey:Tier1_Survey ""Tier1"") (survey:Semiconductor_Survey ""Semiconductor"") } ?entry a survey:DemandForRegion ; survey:hasSurveyOrigin ?origin ; survey:inRegion ?region ; survey:totalDemand ?demand . ?origin a ?surveyClass . ?region survey:regionName ?regionName . } GROUP BY ?surveyGroup ?regionName ORDER BY ?surveyGroup ?regionName",,
EFFKGQA0010,Summarize SAE level development by SAE level.,autonomous_driving,llm_or_ranking,direct_graph_supported,auto_answer,capability_inventory,0,1,5,,"[{""avgPercentage"": ""42.0"", ""saeLevel"": ""SAE_Level_1""}, {""avgPercentage"": ""52.0"", ""saeLevel"": ""SAE_Level_2""}, {""avgPercentage"": ""62.0"", ""saeLevel"": ""SAE_Level_3""}, {""avgPercentage"": ""72.0"", ""saeLevel"": ""SAE_Level_4""}, {""avgPercentage"": ""82.0"", ""saeLevel"": ""SAE_Level_5""}]","Answer: The query returned 5 row(s). Results: sae level: SAE_Level_1, avg percentage: 42.0; sae level: SAE_Level_2, avg percentage: 52.0; sae level: SAE_Level_3, avg percentage: 62.0; sae level: SAE_Level_4, avg percentage: 72.0; sae level: SAE_Level_5, avg percentage: 82.0.",,"SELECT ?saeLevel (AVG(?pct) AS ?avgPercentage) WHERE { ?entry a survey:AutonomousDrivingDevelopment ; survey:hasSAELevel ?sae ; survey:hasPercentage ?pct . BIND(REPLACE(STR(?sae), ""^.*/"", """") AS ?saeLevel) } GROUP BY ?saeLevel ORDER BY ?saeLevel",,
