question_id,question_text,intent,candidate_id,query_text,label,reason
Q1,""Which suppliers provide wafers used in product P?"",""Retrieve suppliers linked via supply relations to wafers used by product P."",""Q1-q1"",""MATCH (s:Supplier)-[:SUPPLIES]->(w:Wafer)-[:USED_IN]->(p:Product {id: 'P'}) RETURN s"",""CORRECT"",""Canonical query matching intent and schema""
Q1,""Which suppliers provide wafers used in product P?"",""Retrieve suppliers linked via supply relations to wafers used by product P."",""Q1-q2"",""MATCH (s:Supplier)-[:SUPPLIES]->(w:Wafer) RETURN s"",""VALID_WRONG"",""Missing constraint on product P""
Q1,""Which suppliers provide wafers used in product P?"",""Retrieve suppliers linked via supply relations to wafers used by product P."",""Q1-q3"",""MATCH (s:Supplier)-[:PRODUCES]->(w:Wafer)-[:USED_IN]->(p:Product {id: 'P'}) RETURN s"",""VALID_WRONG"",""Wrong relation type (PRODUCES instead of SUPPLIES)""
Q1,""Which suppliers provide wafers used in product P?"",""Retrieve suppliers linked via supply relations to wafers used by product P."",""Q1-q4"",""MATCH (s:Vendor)-[:DELIVERS]->(m:Material)-[:CONSUMED_BY]->(p:Product {id: 'P'}) RETURN s"",""INVALID""
Q2,""Which factories manufacture product P?"",""Retrieve factories that manufacture product P."",""Q2-q2"",""MATCH (f:Factory)-[:MANUFACTURES]->(p:Product) RETURN f"",""VALID_WRONG"",""Missing constraint on product P""
Q2,""Which factories manufacture product P?"",""Retrieve factories that manufacture product P."",""Q2-q3"",""MATCH (p:Product {id: 'P'})-[:MANUFACTURES]->(f:Factory) RETURN f"",""VALID_WRONG"",""Wrong relation direction""
Q2,""Which factories manufacture product P?"",""Retrieve factories that manufacture product P."",""Q2-q4"",""MATCH (f:Plant)-[:BUILDS]->(p:Product {id: 'P'}) RETURN f"",""INVALID"",""Hallucinated entity and relation""

Q3,""Which suppliers provide wafers to factories that manufacture product P?"",""Retrieve suppliers of wafers used by factories manufacturing product P."",""Q3-q1"",""MATCH (s:Supplier)-[:SUPPLIES]->(w:Wafer)-[:USED_IN]->(p:Product {id: 'P'}) RETURN DISTINCT s"",""CORRECT"",""Canonical query""
Q3,""Which suppliers provide wafers to factories that manufacture product P?"",""Retrieve suppliers of wafers used by factories manufacturing product P."",""Q3-q2"",""MATCH (s:Supplier)-[:SUPPLIES]->(w:Wafer) RETURN s"",""VALID_WRONG"",""Missing link to product P""
Q3,""Which suppliers provide wafers to factories that manufacture product P?"",""Retrieve suppliers of wafers used by factories manufacturing product P."",""Q3-q3"",""MATCH (s:Supplier)-[:SUPPLIES]->(f:Factory)-[:MANUFACTURES]->(p:Product {id: 'P'}) RETURN s"",""VALID_WRONG"",""Incorrect intermediate entity (Factory instead of Wafer)""
Q3,""Which suppliers provide wafers to factories that manufacture product P?"",""Retrieve suppliers of wafers used by factories manufacturing product P."",""Q3-q4"",""MATCH (v:Vendor)-[:DELIVERS]->(m:Material)-[:CONSUMED_BY]->(p:Product {id: 'P'}) RETURN v"",""INVALID"",""Hallucinated entities and relations""

Q4,""Which products are manufactured by factory F?"",""Retrieve products manufactured by factory F."",""Q4-q1"",""MATCH (f:Factory {id: 'F'})-[:MANUFACTURES]->(p:Product) RETURN p"",""CORRECT"",""Canonical query""
Q4,""Which products are manufactured by factory F?"",""Retrieve products manufactured by factory F."",""Q4-q2"",""MATCH (f:Factory)-[:MANUFACTURES]->(p:Product) RETURN p"",""VALID_WRONG"",""Missing factory constraint""
Q4,""Which products are manufactured by factory F?"",""Retrieve products manufactured by factory F."",""Q4-q3"",""MATCH (f:Factory {id: 'F'})-[:USES]->(p:Product) RETURN p"",""VALID_WRONG"",""Wrong relation type""
Q4,""Which products are manufactured by factory F?"",""Retrieve products manufactured by factory F."",""Q4-q4"",""MATCH (f:Plant {id: 'F'})-[:PRODUCES]->(p:Item) RETURN p"",""INVALID"",""Hallucinated entity labels""

