id,question,valid,row_count,needs_manual_review,review_reason,expected_family,expected_answer_shape,error,human_gold_valid,human_notes,semantic_audit_status,semantic_audit_notes
FINALKGQA001,How much OEM demand does the Americas region have on average?,True,1,False,,regional_demand,average,,,,,
FINALKGQA002,What is the number of Tier1 Automotive current-demand records associated with each of the baselines BL1 and BL2?,True,2,False,,current_demand_baselines,count,,,,,
FINALKGQA003,What is the total number of FutureDemandAnalysis records associated with Semiconductor surveys?,True,1,False,,future_demand,count,,,,,
FINALKGQA004,What are the total annual sales figures broken down by vehicle type and year?,True,6,False,,vehicle_sales,sum,,,,,
FINALKGQA005,Identify the combination of vehicle type and SAE level with the greatest proportion of autonomous driving adoption?,True,1,False,,autonomous_driving,ranking_top,,,,,
FINALKGQA006,What is the total number of order cancellation responses grouped by semiconductor technology category?,True,15,False,,order_cancellation,sum,,correct,Correct after repair: returns one summed order-cancellation response/participant count per semiconductor technology category.,correct,Correct after repair: returns one summed order-cancellation response/participant count per semiconductor technology category.
FINALKGQA007,"What is the number of companies indicating a shortage, broken down by each survey type?",True,6,False,,shortage,count,,,,,
FINALKGQA008,How many Tier1 inventory trends are recorded for each component?,True,9,False,,inventory,count,,,,correct,Returns Tier1 inventory trend counts for each component; component and trend breakdown matches the question.
FINALKGQA009,Which technology categories show their current demand figures along with the percentage change?,True,5,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA010,What is the total OEM demand broken down by region and quarter?,True,35,False,,regional_demand,sum,,,,,
FINALKGQA011,"Among Tier1 Automotive baselines, which one exhibits the greatest mean percentage change in current demand?",True,1,False,,current_demand_baselines,ranking_top,,,,,
FINALKGQA012,What is the total projected semiconductor demand by technology category for each upcoming quarter?,True,40,False,,future_demand,sum,,,,,
FINALKGQA013,How many vehicle sales units are forecasted in total according to the records?,True,1,False,,vehicle_sales,sum,,,,,
FINALKGQA014,What is the average percentage of autonomous driving capability for each type of vehicle over the years?,True,9,False,,autonomous_driving,average,,correct,"Manual semantic spot check: query returns year, vehicle type, and average autonomous-driving percentage, matching the requested grouped average over years.",correct,"Manual semantic spot check: query returns year, vehicle type, and average autonomous-driving percentage, matching the requested grouped average over years."
FINALKGQA015,What is the number of OrderCancellation records associated with the Semiconductor survey?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA016,What is the number of Tier1 companies that have not indicated a semiconductor shortage in their reports?,True,1,False,,shortage,count,,,,,
FINALKGQA017,Which Tier1 inventory trend data points are available for each component?,True,18,False,,inventory,raw_or_lookup,,correct,Correct: raw Tier1 inventory trend observations are returned with component labels; GROUP BY is not required for a raw/list-style question.,correct,Correct: raw Tier1 inventory trend observations are returned with component labels; GROUP BY is not required for a raw/list-style question.
FINALKGQA018,Which regions are included in the available data?,True,5,False,,catalog_lookup,raw_or_lookup,,,,,
FINALKGQA019,How much OEM demand is there in total for the Americas region?,True,1,False,,regional_demand,sum,,,,correct,Returns total OEM demand for Americas; matches the question.
FINALKGQA020,What is the total percentage change in current demand for BL1 and BL2 within Tier1?,True,2,False,,current_demand_baselines,sum,,,,,
FINALKGQA021,What is the total future demand percentage for each region and quarter according to OEM data?,True,35,False,,future_demand,sum,,correct,"Manual semantic spot check: query returns quarter, region, and OEM future-demand percentage/share values, matching the requested region-quarter breakdown.",correct,"Manual semantic spot check: query returns quarter, region, and OEM future-demand percentage/share values, matching the requested region-quarter breakdown."
FINALKGQA022,Identify the month with the greatest number of forecasted vehicle sales?,True,1,False,,vehicle_sales,ranking_top,,,,,
FINALKGQA023,Which vehicle type accounts for the highest percentage at Level 5 autonomy?,True,1,False,,autonomous_driving,ranking_top,,,,,
FINALKGQA024,What is the total number of OrderCancellation records available?,True,1,False,,order_cancellation,count,,,,,
FINALKGQA025,How many OEM companies reported experiencing a shortage compared to those that did not?,True,2,False,,shortage,count,,,,,
FINALKGQA026,Identify the component with the highest total number of Tier1 inventory participants?,True,1,False,,inventory,ranking_top,,correct,Correct: sums Tier1 inventory participants by component and returns the top component.,correct,Correct: sums Tier1 inventory participants by component and returns the top component.
FINALKGQA027,What is the total number of unique regions represented in the survey data?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA028,How does the average demand percentage for the Semiconductor survey change each quarter?,True,7,False,,regional_demand,average,,,,correct,Returns average Semiconductor demand percentage by quarter; matches the question.
FINALKGQA029,How much does the Tier1 current demand percentage change differ between BL1 and BL2 in total?,True,1,False,,current_demand_baselines,sum,,,,correct,"Returns BL1 sum, BL2 sum, and BL1-BL2 delta for Tier1 current demand; matches the requested total difference."
FINALKGQA030,"What is the total future demand percentage for Semiconductor products, broken down by quarter and region?",True,35,False,,future_demand,sum,,,,,
FINALKGQA031,Identify the vehicle type with the greatest total sales in a year?,True,1,False,,vehicle_sales,ranking_top,,,,,
FINALKGQA032,What is the average level of autonomous driving development when comparing different vehicle types and SAE levels?,True,15,False,,autonomous_driving,average,,,,,
FINALKGQA033,Identify the order cancellation response type that involves the highest number of participants?,True,1,False,,order_cancellation,ranking_top,,,,correct,Returns the order-cancellation response type with the highest participant count; matches the question.
FINALKGQA034,What is the number of OEM companies that have indicated experiencing a semiconductor shortage?,True,1,False,,shortage,count,,,,correct,Counts OEM companies with reportsShortage=true; matches the requested number of OEM companies indicating shortage.
FINALKGQA035,What is the total Tier1 inventory response for each component and trend combination?,True,9,False,,inventory,sum,,,,,
FINALKGQA036,What is the total number of companies associated with the Tier1 survey?,True,1,False,,catalog_lookup,count,,,,,
FINALKGQA037,What is the number of DemandForRegion records associated with Tier1 survey data?,True,1,False,,regional_demand,count,,correct,Correct: counts DemandForRegion records associated with Tier1 survey data.,correct,Correct: counts DemandForRegion records associated with Tier1 survey data.
FINALKGQA038,How much does the current-demand change on average for Tier1 companies in the Automotive sector at BL1 and BL2 levels?,True,2,False,,current_demand_baselines,average,,,,,
FINALKGQA039,Identify the technology category with the greatest average percentage change in projected demand?,True,1,False,,future_demand,ranking_top,,,,correct,Returns the technology category with the highest average projected future-demand percentage change; matches the top-category question.
FINALKGQA040,What is the total number of vehicles sold each month based on actual sales data?,True,12,False,,vehicle_sales,sum,,,,,
FINALKGQA041,What is the mean percentage of autonomous driving development for each year?,True,3,False,,autonomous_driving,average,,,,,
FINALKGQA042,Which technology categories and response types are associated with each order-cancellation participant observation?,True,15,False,,order_cancellation,raw_or_lookup,,,,,
FINALKGQA043,How many semiconductor companies reported experiencing a shortage compared to those that did not?,True,2,False,,shortage,count,,,,correct,Returns yes/no shortage counts for semiconductor companies; matches the question.
FINALKGQA044,What is the most frequently occurring pairing of semiconductor technology category and inventory trend?,True,1,False,,inventory,ranking_top,,,,,
