question_id,question_text,candidate_id,query_text,label,reason
Q1,"Which suppliers provide wafers used in product P?","Q1-llm-1","MATCH (s:Supplier)-[:SUPPLIES]->(m:Material)<-[:USED_IN]-(ps:ProcessStep)<-[:REQUIRES]-(p:Product {name:'P'}) RETURN s.name","VALID_WRONG","Indirect path via ProcessStep and REQUIRES; not the canonical supplier–wafer–product relation"
Q1,"Which suppliers provide wafers used in product P?","Q1-llm-2","MATCH (s:Supplier)-[:SUPPLIES]->(m:Material)<-[:USED_IN]-(lot:Lot)-[:PRODUCED_FOR]->(p:Product {name:'P'}) RETURN s.name","VALID_WRONG","Introduces Lot as intermediate entity; overly specific and not required by the intent"
Q1,"Which suppliers provide wafers used in product P?","Q1-llm-3","MATCH (s:Supplier)-[:SUPPLIES]->(m:Material)<-[:REQUIRES]-(ps:ProcessStep)<-[:HAS_CONSTRAINT]-(fab:Fab)-[:PRODUCES]->(p:Product {name:'P'}) RETURN s.name","VALID_WRONG","Traverses manufacturing constraints and Fab entities unrelated to the intent"
Q1,"Which suppliers provide wafers used in product P?","Q1-llm-4","MATCH (s:Supplier)-[:SUPPLIES]->(m:Material)<-[:USED_IN]-(lot:Lot)-[:HAS_DEFECT]->(d:Defect), (lot)-[:PRODUCED_FOR]->(p:Product {name:'P'}) RETURN s.name","INVALID","Introduces defects and additional constraints not implied by the question"
Q1,"Which suppliers provide wafers used in product P?","Q1-llm-5","MATCH (s:Supplier)-[:SUPPLIES]->(m:Material)<-[:REQUIRES]-(ps:ProcessStep)<-[:HAS_YIELD]-(lot:Lot)-[:PROCESSED_WITH]->(tool:Tool), (lot)-[:PRODUCED_FOR]->(p:Product {name:'P'}) RETURN s.name","INVALID","Adds yield, tools, and process complexity unrelated to the question"

Q2,"Which factories manufacture product P?","Q2-llm-1","MATCH (f:Fab)-[:PRODUCES]->(p:Product {name:'P'}) RETURN f.name","CORRECT","Direct and canonical factory–produces–product relation"
Q2,"Which factories manufacture product P?","Q2-llm-2","MATCH (f:Fab)<-[:PRODUCES]-(p:Product {name:'P'}) RETURN f.name","VALID_WRONG","Semantically correct but inverted pattern; non-canonical direction"
Q2,"Which factories manufacture product P?","Q2-llm-3","MATCH (p:Product {name:'P'})<-[:PRODUCES]-(f:Fab) RETURN f.name","VALID_WRONG","Equivalent semantics but reversed traversal; not canonical"
Q2,"Which factories manufacture product P?","Q2-llm-4","MATCH (p:Product {name:'P'})-[:PRODUCES]->(f:Fab) RETURN f.name","INVALID","Wrong relation direction: product producing factory"
Q2,"Which factories manufacture product P?","Q2-llm-5","MATCH (f:Fab)-[:PRODUCES]->(:Product {name:'P'}) RETURN f.name","VALID_WRONG","Anonymous product node; loses explicit entity binding"

Q3,"Which suppliers provide wafers to factories that manufacture product P?","Q3-llm-1","MATCH (f:Fab {name:'P'})<-[:PRODUCES]-(l:Lot)-[:USED_IN]->(m:Material)<-[:SUPPLIES]-(s:Supplier) RETURN s.name","VALID_WRONG","Treats product P as a Fab and introduces Lot incorrectly"
Q3,"Which suppliers provide wafers to factories that manufacture product P?","Q3-llm-2","MATCH (f:Fab {name:'P'})<-[:PRODUCES]-(l:Lot)-[:HAS_DEFECT]->(d:Defect)<-[:AFFECTS]-(s:Supplier) RETURN s.name","INVALID","Uses defects and AFFECTS relation unrelated to the intent"
Q3,"Which suppliers provide wafers to factories that manufacture product P?","Q3-llm-3","MATCH (f:Fab {name:'P'})<-[:PRODUCES]-(p:Product)<-[:SUPPLIES]-(s:Supplier) RETURN s.name","INVALID","Incorrect schema: suppliers supplying products directly"
Q3,"Which suppliers provide wafers to factories that manufacture product P?","Q3-llm-4","MATCH (f:Fab {name:'P'})<-[:HAS_CONSTRAINT]-(c:CapacityConstraint)-[:SUPPLIES*1..]->(s:Supplier) RETURN s.name","INVALID","Capacity constraints and recursive SUPPLIES path unrelated to the question"
Q3,"Which suppliers provide wafers to factories that manufacture product P?","Q3-llm-5","MATCH (f:Fab {name:'P'})<-[:PRODUCES]-(p:Product)<-[:REQUIRES]-(ps:ProcessStep)-[:USED_IN]->(m:Material)<-[:SUPPLIES]-(s:Supplier) RETURN s.name","VALID_WRONG","Overly indirect; mixes process modeling with supply intent"

Q4,"Which products are manufactured by factory F?","Q4-llm-1","MATCH (f:Fab {name:'F'})<-[:PRODUCES]-(p:Product) RETURN p.name","CORRECT","Canonical product–produced-by–factory pattern"
Q4,"Which products are manufactured by factory F?","Q4-llm-2","MATCH (f:Fab {name:'F'})-[:PRODUCES]->(p:Product) RETURN p.name","VALID_WRONG","Relation direction inverted compared to schema"
Q4,"Which products are manufactured by factory F?","Q4-llm-3","MATCH (f:Fab {name:'F'})<-[r:PRODUCES]-(p:Product) RETURN p.name, r","VALID_WRONG","Returns extra relation variable not required by the question"
Q4,"Which products are manufactured by factory F?","Q4-llm-4","MATCH (f:Fab {fab_id:'F'})<-[:PRODUCES]-(p:Product) RETURN p.name","VALID_WRONG","Uses alternate identifier attribute; schema-dependent ambiguity"
Q4,"Which products are manufactured by factory F?","Q4-llm-5","MATCH (f:Fab {fab_id:'F'})-[:PRODUCES]->(p:Product) RETURN p.name","INVALID","Wrong direction combined with non-canonical identifier"

Q5,"Which wafers are supplied by supplier S?","Q5-llm-1","MATCH (s:Supplier {name:'S'})-[:SUPPLIES]->(l:Lot) RETURN l.lot_id","VALID_WRONG","Returns lots instead of wafers"
Q5,"Which wafers are supplied by supplier S?","Q5-llm-2","MATCH (s:Supplier {name:'S'})-[:SUPPLIES]->(p:Product) MATCH (p)-[:PRODUCES]->(l:Lot) RETURN l.lot_id","INVALID","Suppliers supplying products directly; schema violation"
Q5,"Which wafers are supplied by supplier S?","Q5-llm-3","MATCH (s:Supplier {name:'S'})-[:SUPPLIES]->(m:Material) MATCH (m)-[:USED_IN]->(ps:ProcessStep) MATCH (ps)-[:PRODUCED_FOR]->(l:Lot) RETURN l.lot_id","VALID_WRONG","Indirect path returning lots, not wafers"
Q5,"Which wafers are supplied by supplier S?","Q5-llm-4","MATCH (s:Supplier {name:'S'})-[:SUPPLIES]->(p:Product) MATCH (p)-[:REQUIRES]->(ps:ProcessStep) MATCH (ps)-[:PRODUCED_WITH]->(t:Tool) MATCH (t)-[:PRODUCES]->(l:Lot) RETURN l.lot_id","INVALID","Complex process/tool path unrelated to wafer supply"
Q5,"Which wafers are supplied by supplier S?","Q5-llm-5","MATCH (s:Supplier {name:'S'})-[:SUPPLIES]->(m:Material) MATCH (m)-[:USED_IN]->(ps:ProcessStep) MATCH (ps)-[:REQUIRES]->(t:Tool) MATCH (t)-[:PRODUCES]->(l:Lot) RETURN l.lot_id","INVALID","Returns lots via tools; wafers not explicitly represented"

Q6,"Which factories use wafers supplied by supplier S?","Q6-llm-1","MATCH (s:Supplier {name:'S'})<-[:SUPPLIES]-(m:Material)-[:USED_IN]->(p:Product)<-[:PRODUCES]-(f:Fab) RETURN f","VALID_WRONG","Uses product as intermediate instead of wafer usage by factory"
Q6,"Which factories use wafers supplied by supplier S?","Q6-llm-2","MATCH (s:Supplier {name:'S'})<-[:SUPPLIES]-(m:Material)-[:USED_IN]->(ps:ProcessStep)<-[:REQUIRES]-(p:Product)<-[:PRODUCES]-(f:Fab) RETURN f","VALID_WRONG","Overly indirect path via process modeling"
Q6,"Which factories use wafers supplied by supplier S?","Q6-llm-3","MATCH (s:Supplier {name:'S'})<-[:SUPPLIES]-(m:Material)-[:USED_IN]->(l:Lot)-[:PRODUCED_FOR]->(p:Product)<-[:PRODUCES]-(f:Fab) RETURN f","VALID_WRONG","Introduces Lot; indirect and non-canonical"
Q6,"Which factories use wafers supplied by supplier S?","Q6-llm-4","MATCH (s:Supplier {name:'S'})<-[:SUPPLIES]-(m:Material)-[:USED_IN]->(ps:ProcessStep)<-[:REQUIRES]-(l:Lot)-[:PRODUCED_FOR]->(p:Product)<-[:PRODUCES]-(f:Fab) RETURN f","INVALID","Conflates lots and process steps incorrectly"
