Id,Label
Aggregated_Current_BEHV,Aggregated_Current_BEHV
Aggregated_Current_BEV,Aggregated_Current_BEV
Aggregated_Current_ICE,Aggregated_Current_ICE
AllOther,AllOther
All_Other,All_Other
All_Other_Q1_2026_Entry,All_Other_Q1_2026_Entry
All_Other_Q2_2025_Entry,All_Other_Q2_2025_Entry
All_Other_Q2_2026_Entry,All_Other_Q2_2026_Entry
All_Other_Q3_2025_Entry,All_Other_Q3_2025_Entry
All_Other_Q3_2026_Entry,All_Other_Q3_2026_Entry
All_Other_Q4_2025_Entry,All_Other_Q4_2025_Entry
All_Other_Q4_2026_Entry,All_Other_Q4_2026_Entry
Automotive,Automotive
AutonomousDrivingDevelopment_OEM,AutonomousDrivingDevelopment_OEM
AutonomousDrivingDevelopment_Tier1,AutonomousDrivingDevelopment_Tier1
BEHV,BEHV
BEHV_SAE_Level_1_Year_2025,BEHV_SAE_Level_1_Year_2025
BEHV_SAE_Level_1_Year_2026,BEHV_SAE_Level_1_Year_2026
BEHV_SAE_Level_1_Year_2027,BEHV_SAE_Level_1_Year_2027
BEHV_SAE_Level_2_Year_2025,BEHV_SAE_Level_2_Year_2025
BEHV_SAE_Level_2_Year_2026,BEHV_SAE_Level_2_Year_2026
BEHV_SAE_Level_2_Year_2027,BEHV_SAE_Level_2_Year_2027
BEHV_SAE_Level_3_Year_2025,BEHV_SAE_Level_3_Year_2025
BEHV_SAE_Level_3_Year_2026,BEHV_SAE_Level_3_Year_2026
BEHV_SAE_Level_3_Year_2027,BEHV_SAE_Level_3_Year_2027
BEHV_SAE_Level_4_Year_2025,BEHV_SAE_Level_4_Year_2025
BEHV_SAE_Level_4_Year_2026,BEHV_SAE_Level_4_Year_2026
BEHV_SAE_Level_4_Year_2027,BEHV_SAE_Level_4_Year_2027
BEHV_SAE_Level_5_Year_2025,BEHV_SAE_Level_5_Year_2025
BEHV_SAE_Level_5_Year_2026,BEHV_SAE_Level_5_Year_2026
BEHV_SAE_Level_5_Year_2027,BEHV_SAE_Level_5_Year_2027
BEV,BEV
BEV_SAE_Level_1_Year_2025,BEV_SAE_Level_1_Year_2025
BEV_SAE_Level_1_Year_2026,BEV_SAE_Level_1_Year_2026
BEV_SAE_Level_1_Year_2027,BEV_SAE_Level_1_Year_2027
BEV_SAE_Level_2_Year_2025,BEV_SAE_Level_2_Year_2025
BEV_SAE_Level_2_Year_2026,BEV_SAE_Level_2_Year_2026
BEV_SAE_Level_2_Year_2027,BEV_SAE_Level_2_Year_2027
BEV_SAE_Level_3_Year_2025,BEV_SAE_Level_3_Year_2025
BEV_SAE_Level_3_Year_2026,BEV_SAE_Level_3_Year_2026
BEV_SAE_Level_3_Year_2027,BEV_SAE_Level_3_Year_2027
BEV_SAE_Level_4_Year_2025,BEV_SAE_Level_4_Year_2025
BEV_SAE_Level_4_Year_2026,BEV_SAE_Level_4_Year_2026
BEV_SAE_Level_4_Year_2027,BEV_SAE_Level_4_Year_2027
BEV_SAE_Level_5_Year_2025,BEV_SAE_Level_5_Year_2025
BEV_SAE_Level_5_Year_2026,BEV_SAE_Level_5_Year_2026
BEV_SAE_Level_5_Year_2027,BEV_SAE_Level_5_Year_2027
China,China
China_Q1_2026_Entry,China_Q1_2026_Entry
China_Q2_2025_Entry,China_Q2_2025_Entry
China_Q2_2026_Entry,China_Q2_2026_Entry
China_Q3_2025_Entry,China_Q3_2025_Entry
China_Q3_2026_Entry,China_Q3_2026_Entry
China_Q4_2025_Entry,China_Q4_2025_Entry
China_Q4_2026_Entry,China_Q4_2026_Entry
Company1_OEM,Company1_OEM
Company1_OEM_BEHV_Response,Company1_OEM_BEHV_Response
Company1_OEM_BEV_Response,Company1_OEM_BEV_Response
Company1_OEM_ICE_Response,Company1_OEM_ICE_Response
Company1_tier1,Company1_tier1
Company1_tier1_Advanced_driver-assistance_systems_(ADAS),Company1_tier1_Advanced_driver-assistance_systems_(ADAS)
Company1_tier1_Body_and_convenience,Company1_tier1_Body_and_convenience
Company1_tier1_Chassis_and_safety,Company1_tier1_Chassis_and_safety
Company1_tier1_Infotainment_and_Telematics,Company1_tier1_Infotainment_and_Telematics
Company1_tier1_Other,Company1_tier1_Other
Company1_tier1_Powertrain,Company1_tier1_Powertrain
Company2_OEM,Company2_OEM
Company2_OEM_BEHV_Response,Company2_OEM_BEHV_Response
Company2_OEM_BEV_Response,Company2_OEM_BEV_Response
Company2_OEM_ICE_Response,Company2_OEM_ICE_Response
Company2_tier1,Company2_tier1
Company2_tier1_Advanced_driver-assistance_systems_(ADAS),Company2_tier1_Advanced_driver-assistance_systems_(ADAS)
Company2_tier1_Body_and_convenience,Company2_tier1_Body_and_convenience
Company2_tier1_Chassis_and_safety,Company2_tier1_Chassis_and_safety
Company2_tier1_Infotainment_and_Telematics,Company2_tier1_Infotainment_and_Telematics
Company2_tier1_Other,Company2_tier1_Other
Company2_tier1_Powertrain,Company2_tier1_Powertrain
Company3_OEM,Company3_OEM
Company3_OEM_BEHV_Response,Company3_OEM_BEHV_Response
Company3_OEM_BEV_Response,Company3_OEM_BEV_Response
Company3_OEM_ICE_Response,Company3_OEM_ICE_Response
Company3_tier1,Company3_tier1
